status,code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,result,strategy,confidence,rs_score,day_volume,name,lots,odd_lot,cost,fee_buy,fee_sell,tax,fee_tax_total,gross_pnl_dollars,pnl_dollars,net_pnl_dollars
已實現,2313,2025-10-22,2025-11-11,88.47659999999999,84.331,-4.69,20,時間停損,ema_trend,0.97,0.05735987246430392,37977.0,華通,279,True,24685.0,35.0,34.0,71.0,139.0,-1157.0,-1296.0,-1296.0
已實現,2485,2025-12-01,2026-01-05,23.8476,24.7005,3.58,35,時間停損,ema_trend,1.0,0.7084437289384284,116694.0,兆赫,3,False,71543.0,102.0,106.0,222.0,430.0,2559.0,2129.0,2129.0
已實現,8110,2025-12-01,2026-02-03,37.1241,66.76620000000001,79.85,64,追蹤停利,ema_trend,1.0,0.570260657812525,122115.0,華東,1,False,37124.0,53.0,95.0,200.0,348.0,29642.0,29294.0,29294.0
已實現,1303,2025-12-01,2025-12-16,63.2262,58.051767792,-8.18,15,停損,ema_trend,1.0,0.45875238405358887,233599.0,南亞,777,True,49127.0,70.0,64.0,135.0,270.0,-4021.0,-4290.0,-4290.0
已實現,8150,2025-12-04,2025-12-24,44.2884,45.6086,2.98,20,時間停損,ema_trend,1.0,0.3342431483654332,16138.0,南茂,777,True,34412.0,49.0,50.0,106.0,206.0,1026.0,820.0,820.0
已實現,6706,2025-12-09,2025-12-11,118.236,108.55956576000001,-8.18,2,停損,ema_trend,0.86,0.3879177610723665,16399.0,惠特,203,True,24002.0,34.0,31.0,66.0,132.0,-1964.0,-2096.0,-2096.0
已實現,8039,2025-12-09,2025-12-29,86.4726,90.0196,4.1,20,時間停損,ema_trend,0.85,0.35161799526440407,58130.0,台虹,195,True,16862.0,24.0,25.0,53.0,102.0,692.0,590.0,590.0
已實現,4927,2025-12-22,2025-12-30,35.370599999999996,32.475870095999994,-8.18,8,停損,ema_trend,0.97,0.6369878467458182,45446.0,泰鼎-KY,1,False,35371.0,50.0,46.0,97.0,194.0,-2895.0,-3089.0,-3089.0
持倉中,3037,2025-12-22,2026-03-27,219.939,503.99,129.15,95,回測結束,ema_trend,0.91,0.29947263993316625,24783.0,欣興,142,True,31231.0,45.0,102.0,215.0,361.0,40335.0,39974.0,39974.0
已實現,2882,2025-12-22,2026-01-12,75.9516,75.9478,-0.01,21,時間停損,ema_trend,0.85,0.14282955817215998,45489.0,國泰金,289,True,21950.0,31.0,31.0,66.0,128.0,-1.0,-130.0,-130.0
已實現,8131,2025-12-24,2026-02-06,58.7172,64.4708,9.8,44,追蹤停利,ema_trend,1.0,0.4013114985280896,22815.0,福懋科,441,True,25894.0,37.0,41.0,85.0,163.0,2537.0,2375.0,2375.0
已實現,3576,2025-12-29,2026-01-02,9.32862,8.565165739200001,-8.18,4,停損,ema_trend,0.85,0.4773542133513991,21094.0,聯合再生,2,False,18657.0,27.0,24.0,51.0,102.0,-1527.0,-1629.0,-1629.0
已實現,1528,2025-12-30,2026-02-10,22.494899999999998,21.8063,-3.06,42,時間停損,ema_trend,1.0,0.44335323695788814,92050.0,恩德,1,False,22495.0,32.0,31.0,65.0,129.0,-689.0,-817.0,-817.0
已實現,4927,2026-01-02,2026-01-27,32.8656,33.3332,1.42,25,時間停損,ema_trend,0.91,0.4379350885846848,18142.0,泰鼎-KY,786,True,25832.0,37.0,37.0,79.0,153.0,368.0,215.0,215.0
已實現,6257,2026-01-05,2026-02-05,118.236,123.253,4.24,31,時間停損,ema_trend,0.85,0.2026537321174483,16536.0,矽格,340,True,40200.0,57.0,60.0,126.0,243.0,1706.0,1463.0,1463.0
已實現,3576,2026-01-12,2026-03-09,9.068100000000001,20.2594,123.41,56,追蹤停利,ema_trend,0.85,0.2899632493164943,14638.0,聯合再生,3,False,27204.0,39.0,87.0,182.0,308.0,33574.0,33266.0,33266.0
已實現,6285,2026-01-27,2026-03-04,157.815,159.181,0.87,36,時間停損,ema_trend,0.97,0.4375115306561714,37032.0,啟碁,217,True,34246.0,49.0,49.0,104.0,202.0,296.0,95.0,95.0
